BV Index,Tempature,Class
1.34,4051.195837,5
1.34,4051.195837,5
1.34,4051.195837,5
1.33,4068.520901,4
1.32,4086.001399,5
1.32,4086.001399,4
1.3,4121.437438,6
1.3,4121.437438,5
1.3,4121.437438,5
1.3,4121.437438,5
1.3,4121.437438,5
1.3,4121.437438,5
1.29,4139.397456,5
1.29,4139.397456,5
1.29,4139.397456,5
1.28,4157.521863,6
1.28,4157.521863,6
1.28,4157.521863,5
1.28,4157.521863,5
1.28,4157.521863,5
1.28,4157.521863,5
1.28,4157.521863,5
1.28,4157.521863,5
1.27,4175.813009,6
1.27,4175.813009,5
1.27,4175.813009,5
1.27,4175.813009,5
1.27,4175.813009,5
1.26,4194.273289,5
1.26,4194.273289,5
1.26,4194.273289,5
1.25,4212.905144,5
1.25,4212.905144,5
1.25,4212.905144,5
1.25,4212.905144,5
1.25,4212.905144,5
1.25,4212.905144,5
1.24,4231.711067,5
1.24,4231.711067,5
1.24,4231.711067,5
1.24,4231.711067,5
1.24,4231.711067,5
1.24,4231.711067,5
1.24,4231.711067,5
1.23,4250.693596,5
1.23,4250.693596,5
1.23,4250.693596,5
1.23,4250.693596,5
1.23,4250.693596,5
1.22,4269.855325,5
1.22,4269.855325,5
1.22,4269.855325,5
1.22,4269.855325,5
1.22,4269.855325,5
1.21,4289.198897,5
1.21,4289.198897,5
1.21,4289.198897,5
1.21,4289.198897,5
1.21,4289.198897,5
1.21,4289.198897,5
1.21,4289.198897,5
1.2,4308.727009,5
1.2,4308.727009,5
1.2,4308.727009,5
1.2,4308.727009,5
1.2,4308.727009,5
1.2,4308.727009,5
1.2,4308.727009,5
1.2,4308.727009,5
1.2,4308.727009,5
1.19,4328.442415,5
1.19,4328.442415,5
1.19,4328.442415,5
1.19,4328.442415,5
1.19,4328.442415,5
1.19,4328.442415,5
1.19,4328.442415,5
1.18,4348.347923,5
1.18,4348.347923,5
1.18,4348.347923,5
1.18,4348.347923,5
1.17,4368.4464,5
1.17,4368.4464,5
1.17,4368.4464,5
1.17,4368.4464,5
1.17,4368.4464,5
1.17,4368.4464,5
1.17,4368.4464,5
1.17,4368.4464,5
1.17,4368.4464,4
1.17,4368.4464,4
1.16,4388.740774,5
1.16,4388.740774,5
1.16,4388.740774,5
1.16,4388.740774,5
1.16,4388.740774,5
1.16,4388.740774,5
1.16,4388.740774,4
1.15,4409.234032,6
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,5
1.15,4409.234032,4
1.14,4429.929225,6
1.14,4429.929225,5
1.14,4429.929225,5
1.14,4429.929225,5
1.14,4429.929225,5
1.14,4429.929225,5
1.14,4429.929225,5
1.14,4429.929225,5
1.14,4429.929225,4
1.14,4429.929225,4
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,5
1.13,4450.829467,4
1.12,4471.93794,5
1.12,4471.93794,5
1.12,4471.93794,5
1.12,4471.93794,5
1.12,4471.93794,5
1.12,4471.93794,5
1.12,4471.93794,5
1.12,4471.93794,5
1.12,4471.93794,5
1.11,4493.257892,5
1.11,4493.257892,5
1.11,4493.257892,5
1.11,4493.257892,5
1.11,4493.257892,5
1.11,4493.257892,5
1.11,4493.257892,5
1.1,4514.792643,5
1.1,4514.792643,5
1.1,4514.792643,5
1.1,4514.792643,5
1.1,4514.792643,5
1.1,4514.792643,5
1.1,4514.792643,5
1.1,4514.792643,4
1.1,4514.792643,4
1.1,4514.792643,4
1.09,4536.545583,5
1.09,4536.545583,5
1.09,4536.545583,5
1.09,4536.545583,5
1.09,4536.545583,5
1.09,4536.545583,5
1.09,4536.545583,4
1.09,4536.545583,4
1.09,4536.545583,4
1.08,4558.520176,5
1.08,4558.520176,5
1.08,4558.520176,5
1.08,4558.520176,5
1.08,4558.520176,5
1.08,4558.520176,4
